"제조국","브랜드","이름","최소가격","최대가격","차종","엔진","최소연비","최대연비","최소출력","최대출력","출시년도","차량번호","내용","상세사진","색상1","색상2","색상3","색상4","색상5","색상6","색상7","색상8","색상9","색상10","색상1코드","색상2코드","색상3코드","색상4코드","색상5코드","색상6코드","색상7코드","색상8코드","색상9코드","색상10코드"
"일본","닛산","알티마",2960,4140,"중형","가솔린","12.2","12.9","184","252",2019,1112,"운전 경험이 부족한 10대들의 첫차  혹은 갓 사회에 진출한 20대들에게 인기가 높다 ",1115,"빨간색","회색",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"#9f1d20","#b7babf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"일본","마쓰다","MX-5",2630,3950,"중형","가솔린, 전기","14.5","15.9","204","214",2023,1113,"2019년에도 특주 주황색과 레카로  버킷 시트 등으로 구성되어 있는  3000대 한장판을 추시하여  완판 성공 ",1114,"주황색","빨간색","회색",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"#f76a25","#9f1d20","#b7babf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"한국","현대","포터2",1719,2546,"화물","LPG, 디젤","6.3","7","138","159",2024,1204,"지금, 당신의 성공 스토리가 시작됩니다   인생에서 더 큰 성공을 원한다면 더 큰 꿈을 꾸세요  삶은 주어진 것이 아니라 스스로 개척해 나아가는 것  땀의 가치를 아는 당신을 응원합니다   친환경의 EURO VI 2 5 CRDi 엔진으로 탁월한 연비효율성과 4WD 시스템을 통해 비포장 도로나 비탈길, 젖은 길 등 어떠한 악조건에서도 최상의 주행성능을 발휘합니다   운전석 및 동승석 에어백 장착과 후방 주차 보조 시스템으로 안전성을 높였으며 차체자세제어장치(ESC), ABS 브레이크 및 급제동 경보 시스템(ESS)이 모든 트림에 기본 적용되었습니다 ",1686,"오닉스 블루(ZV) ","슬레이트 브라운(RVB) ","크리미 화이트(YAW) ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"#3b3f66","#4d4744","#F6F5F2",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"한국","기아","봉고3 트럭",1659,2631,"화물","LPG, 디젤","6.5","9.9","133","159",2020,1234,"언제나 믿음직스러운 업무 파트너 2019년형 봉고Ⅲ  최고의 적재 능력과 각종 운전 편의사양, 다양한 라인업까지 모든 사업 환경에서 최고의 성능을 자랑하는 든든한 동반자  트럭의 본질인 적재성, 봉고Ⅲ는 독자적인 프레임 구조와 단단한 서스펜션 세팅을 통해 어떤 화물도 안정적으로 운반합니다 ",1719,"클리어화이트 (순백색)(UD) ","퓨어 베이지(BPY) ","진감청(MA) ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"#fdfdfd","#E3D0C6","#2D3F5A",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"유럽","벤츠","S-Class",22760,22760,"대형","가솔린","7.3","11","286","612",2021,1322,"시간도 잠시 멈춰가는 인테리어   변함없는 최고의 품격, 그리고 카리스마  삶의 배터리까지 충전하는 최초의 자동차이자 모두를 위한 혁신 ",1768,"Emerald Green Metallic(989U) ","Allanite Grey(044) ","Selenite Grey Metallic(992U) ","Iridium Silver(775) ","Diamond Silver(988) ","Black(040U) ","Mocha Black Metallic(033) ","Magnetite Black(183) ","Obsidian Black(197U) ","Ruby Black(897) ","#18221f","#9e9e9b","#6a6d6f","#b2b1b5","#a5a4a8","#0f0f0f","#37352f","#616161","#424242","#402420"
"유럽","마세라티","Ghibli",13600,20200,"중형","가솔린, 하이브리드","6.5","8.9","330","580",2023,1369,"조르제토 주지아로가 디자인한 1세대 기블리는 천재적인 디자인으로 평가되며, 그 정신을 계승하고 있습니다  부드러운 라인의 공격적인 전면 디자인, 기블리는 타인을 따르지 않으며, 오직 자신만의 규칙을 만들어냅니다 ",1842,"Grigio ","Grigio Maratea ","Grigio Evoluzione ","Nero Ribelle ","Bianco ","Blu Emozione ",NULL,NULL,NULL,NULL,"#898384","#4e4c4f","#616564","#292929","#e6e5e1","#021850",NULL,NULL,NULL,NULL
"유럽","랜드로버","Range Rover Velar",9810,11990,"중형 SUV","가솔린","8.6","8.6","250","250",2020,1493,"Range Rover Velar에 적용된 다양한 엔진은 최적화를 통해 강력한 퍼포먼스와 개선된 효율성  새롭게 개발된 인제니움 엔진은 경량 알루미늄 소재를 활용해 경량화, 민첩한 반응과 연료 효율성을 선사합니다 ",1824,"Santorini Black ","Narvik Black ","Silicon Silver ","Indus Silver ","Yulong White ","Fuji White ","Kaikoura Stone ","Lantau Bronze ","Corris Grey ","Carpathian Grey ","#0f090b","#040506","#605a54","#bababb","#d1d2d7","#e3e6e4","#6e6159","#a6a6a6","#575758","#3e3e42"
"유럽","포르쉐","718 Boxster",9630,13530,"스포츠카","가솔린","9.3","9.3","300","300",2023,1496,"718 모델은 스포츠카의 핵심을 유지하면서 미드십 엔진을 탑재한 로드스터로,  전설적인 718의 스포츠 정신에 미래형 스포츠카를 접목하여 오늘날의 도로에 적합하게 변신시켰습니다 ",1827,"Shark Blue ","Gentian Blue Metallic ","Python Green ","Aventurine Green Metallic ","Racing Yellow ","Frozenberry Metallic ","Gt Silver Metallic ","Arctic Grey ","Ice Grey Metallic ","Agate Grey Metallic ","#006dd1","#253b6c","#3c9343","#3c3c32","#ffcc00","#b5a9ad","#cccccc","#6a6c70","#dfe2e9","#333333"
"유럽","포르쉐","718 Cayman",9160,13050,"스포츠카","가솔린","8.4","8.4","407","407",2024,1497,"718 모델은 스포츠카의 핵심을 유지하면서 미드십 엔진을 탑재한 로드스터로,  전설적인 718의 스포츠 정신에 미래형 스포츠카를 접목하여 오늘날의 도로에 적합하게 변신시켰습니다 ",1828,"Shark Blue ","Gentian Blue Metallic ","Python Green ","Aventurine Green Metallic ","Racing Yellow ","Frozenberry Metallic ","Gt Silver Metallic ","Arctic Grey ","Ice Grey Metallic ","Agate Grey Metallic ","#006dd1","#253b6c","#3c9343","#3c3c32","#ffcc00","#b5a9ad","#cccccc","#6a6c70","#dfe2e9","#333333"
"유럽","페라리","812 Superfast",46900,46900,"스포츠카","가솔린","5.4","5.4","800","800",2017,1502,"8,500RPM에서 뿜어져 나오는 800마력의 기록적인 출력   최대 출력 800마력, 제로백 2 9초의 V12엔진   가장 빠르고 강력한 모델 ",1839,"Verde British ","Giallo Mondena ","Giallo Triplostrato ","Canna Di Fucile ","Rosso Corsa ","Rosso Berlinetta ","Rosso Scuderia ","Rosso Mugello ","Rosso Monza ","Rosso Fuoco ","#171c15","#d3a617","#feae21","#33322e","#821b1c","#ea051a","#a41b0b","#4c0910","#8e0608","#c00520"
